,STATIONS DN TRAINS,BSR 90065 12 CAR,VR 90067 12 CAR,VR 90067 12 CAR.1,BVI 90069 12 CAR,BVI 90069 12 CAR.1,BVI 90071 12 CAR,BVI 90071 12 CAR.1,VR 90073 12 CAR,VR 90073 12 CAR.1,VR 92017 12 CAR,VR 92017 12 CAR.1,VR 92017 12 CAR.2,BVI 90077 12 CAR,BVI 90077 12 CAR.1,BVI 90077 12 CAR.2,BVI 90079 12 CAR,BVI 90079 12 CAR.1,BSR 92019 15 CAR,BSR 92019 15 CAR.1,VR 94007 12 CAR,VR 94007 12 CAR.1,VR 90083 12 CAR,VR 90083 12 CAR.1,GMN 90085 12 CAR,GMN 90085 12 CAR.1,GMN 90085 12 CAR.2,BVI 90087 12 CAR,BVI 90087 12 CAR.1,BVI 90087 12 CAR.2,BVI 90089 12 CAR,BVI 90089 12 CAR.1,BVI 90089 12 CAR.2,BVI 90089 12 CAR.3
119,STATIONS DN TRAINS,BA 90155 12 CAR,GMN 90157 12 CAR,GMN 90157 12 CAR,VR 94013 12 CAR,VR 94013 12 CAR,VR 94013 12 CAR,BYR 92039 15 CAR,BYR 92039 15 CAR,VR 92041 12 CAR,VR 92041 12 CAR,VR 92041 12 CAR,VR 90161 12 CAR,VR 90161 12 CAR,BVI 90163 12 CAR,BVI 90163 12 CAR,BVI 90163 12 CAR,DRD 93009 12 CAR,DRD 93009 12 CAR,ADH 90165 12 CAR,ADH 90165 12 CAR,VR 90167 12 CAR,VR 90167 12 CAR,BVI 90169 12 CAR,BVI 90169 12 CAR,BVI 90169 12 CAR,BVI 90171 12 CAR,BVI 90171 12 CAR,BVI 90171 12 CAR,GMN 90173 12 CAR,GMN 90173 12 CAR,GMN 90173 12 CAR,ADH 90175 12 CAR,ADH 90175 12 CAR
120,CHURCHGATE,07:33,07:36,07:36,07:36,07:36,07:36,,,,,,07:39,07:39,07:42,07:42,07:42,07:42,07:42,07:45,07:45,07:45,07:45,07:48,07:48,07:48,07:50,07:50,07:50,07:51,07:51,07:51,07:54,07:54
121,Marine Lines,07:36,07:39,07:39,07:39,07:39,07:39,,,,,,07:42,07:42,07:45,07:45,07:45,07:45,07:45,07:48,07:48,07:48,07:48,07:51,07:51,07:51,,,,07:54,07:54,07:54,07:57,07:57
122,Charni Road,07:38,07:41,07:41,07:41,07:41,07:41,,,,,,07:44,07:44,07:47,07:47,07:47,07:47,07:47,07:50,07:50,07:50,07:50,07:53,07:53,07:53,,,,07:56,07:56,07:56,07:59,07:59
123,Grant Road,07:41,07:44,07:44,07:44,07:44,07:44,,,,,,07:47,07:47,07:50,07:50,07:50,07:50,07:50,07:53,07:53,07:53,07:53,07:56,07:56,07:56,,,,07:59,07:59,07:59,08:02,08:02
124,M'BAI CENTRAL (L),07:43,07:46,07:46,07:46,07:46,07:46,,,,,,07:49,07:49,07:52,07:52,07:52,07:52,07:52,07:55,07:55,07:55,07:55,07:58,07:58,07:58,07:58,07:58,07:58,08:01,08:01,08:01,08:04,08:04
125,Mahalakshmi,07:47,07:50,07:50,Air,Air,Air,,,,,,07:53,07:53,07:56,07:56,07:56,,,07:59,07:59,,,08:02,08:02,08:02,,,,08:05,08:05,08:05,08:08,08:08
126,Lower Parel,07:50,07:53,07:53,Condition,Condition,Condition,,,,,,07:56,07:56,07:59,07:59,07:59,,,08:02,08:02,,,08:05,08:05,08:05,,,,08:08,08:08,08:08,08:11,08:11
127,Prabhadevi,07:53,07:56,07:56,,,,,,,,,07:59,07:59,08:02,08:02,08:02,,,08:05,08:05,,,08:08,08:08,08:08,,,,08:11,08:11,08:11,08:14,08:14
128,DADAR,07:55,07:58,07:58,07:53,07:53,07:53,,,,,,08:01,08:01,08:04,08:04,08:04,07:59,07:59,08:07,08:07,08:02,08:02,08:10,08:10,08:10,08:05,08:05,08:05,08:13,08:13,08:13,08:16,08:16
129,Matunga Road,07:57,08:00,08:00,,,,,,,,,08:03,08:03,08:06,08:06,08:06,,,08:09,08:09,,,08:12,08:12,08:12,,,,08:15,08:15,08:15,08:18,08:18
130,Mahim Jn.,08:00,08:03,08:03,,,,,,,,,08:06,08:06,08:09,08:09,08:09,,,08:12,08:12,,,08:15,08:15,08:15,,,,08:18,08:18,08:18,08:21,08:21
131,BANDRA,08:05,08:07,08:07,07:59,07:59,07:59,,,,,,08:10,08:10,08:13,08:13,08:13,08:04,08:04,08:16,08:16,08:07,08:07,08:19,08:19,08:19,08:11,08:11,08:11,08:22,08:22,08:22,08:25,08:25
132,Khar Road,,08:10,08:10,,,,,,,,,08:13,08:13,08:16,08:16,08:16,,,08:19,08:19,,,08:23,08:23,08:23,,,,08:25,08:25,08:25,08:28,08:28
133,Santa Cruz,,08:12,08:12,,,,,,,,,08:15,08:15,08:18,08:18,08:18,,,08:21,08:21,,,08:25,08:25,08:25,,,,08:27,08:27,08:27,08:30,08:30
134,Vile Parle,,08:15,08:15,,,,,,,,,08:18,08:18,08:21,08:21,08:21,,,08:24,08:24,,,08:28,08:28,08:28,,,,08:30,08:30,08:30,08:33,08:33
135,ANDHERI,,08:21,08:21,08:07,08:07,08:07,,,,,,08:23,08:23,08:26,08:26,08:26,08:12,08:12,08:29,08:29,08:16,08:16,08:33,08:33,08:33,08:19,08:19,08:19,08:35,08:35,08:35,08:39,08:39
136,Jogeshwari,,08:25,08:25,,,,NOT ON,NOT ON,,,,08:26,08:26,08:29,08:29,08:29,,,,,,,08:36,08:36,08:36,,,,08:39,08:39,08:39,,
137,Ram Mandir,,08:28,08:28,,,,SUN,SUN,,,,08:29,08:29,08:32,08:32,08:32,,,,,,,08:39,08:39,08:39,,,,08:42,08:42,08:42,,
138,Goregaon,,08:31,08:31,,,,ONLY,ONLY,,,,08:31,08:31,08:34,08:34,08:34,,,,,,,08:41,08:41,08:41,,,,08:46,08:46,08:46,,
139,Malad,,,,,,,,,,,,08:35,08:35,08:38,08:38,08:38,,,,,,,08:45,08:45,08:45,,,,,,,,
140,Kandivli,,,,,,,,,,,,08:38,08:38,08:41,08:41,08:41,,,,,,,08:48,08:48,08:48,,,,,,,,
141,BORIVALI,,,,08:21,08:21,08:21,08:25,08:25,08:30,08:30,08:30,08:43,08:43,08:47,08:47,08:47,08:25,08:25,,,08:28,08:28,08:54,08:54,08:54,08:35,08:35,08:35,,,,,
142,Dahisar,NOT ON,,,08:25,08:25,08:25,,,08:34,08:34,08:34,08:48,08:48,NOT ON,NOT ON,NOT ON,,,NOT ON,NOT ON,08:33,08:33,,,,,,,,,,,
143,Mira Road,SUN,,,08:30,08:30,08:30,,,08:39,08:39,08:39,08:53,08:53,SUN,SUN,SUN,,,SUN &,SUN &,08:38,08:38,,,,,,,,,,,
144,Bhayandar,ONLY,,,08:35,08:35,08:35,08:39,08:39,08:44,08:44,08:44,08:58,08:58,ONLY,ONLY,ONLY,08:39,08:39,HOLIDAY,HOLIDAY,08:43,08:43,,,,,,,,,,,
145,Naigaon,,,,08:41,08:41,08:41,,,08:50,08:50,08:50,09:04,09:04,,,,,,,,08:49,08:49,,,,,,,,,,,
146,Vasai Road,,,,08:46,08:46,08:46,,,08:55,08:55,08:55,09:08,09:08,,,,08:49,08:49,,,08:54,08:54,,,,,,,,,,,
147,Nalla Sopara,,,,08:52,08:52,08:52,,,09:00,09:00,09:00,09:13,09:13,,,,,,,,08:59,08:59,,,,,,,,,,,
148,VIRAR,,,,09:00,09:00,09:00,,,09:06,09:06,09:06,09:20,09:20,,,,09:00,09:00,,,09:05,09:05,,,,,,,,,,,
149,STATIONS DN TRAINS,VR 94015 12 CAR,VR 94015 12 CAR,BVI 90179 12 CAR,BVI 90179 12 CAR,VR 92043 15 CAR,VR 92043 15 CAR,GMN 90181 12 CAR,GMN 90181 12 CAR,BVI 90183 12 CAR,BVI 90183 12 CAR,BVI 90183 12 CAR,VR 90185 12 CAR,VR 90185 12 CAR,VR 90185 12 CAR,BYR 92045 15 CAR,BYR 92045 15 CAR,VR 92047 15 CAR,VR 92047 15 CAR,BVI 90187 12 CAR,BVI 90187 12 CAR,VR 90189 12 CAR,VR 90189 12 CAR,ADH 90191 12 CAR,ADH 90191 12 CAR,ADH 90191 12 CAR,BVI 90193 12 CAR,BVI 90193 12 CAR,BVI 90193 12 CAR,VR 92049 15 CAR,VR 92049 15 CAR,VR 92049 15 CAR,VR 92051 15 CAR,VR 92051 15 CAR
150,CHURCHGATE,07:54,07:54,07:57,07:57,,,08:00,08:00,08:03,08:03,08:03,,,,,,08:05,08:05,08:06,08:06,08:08,08:08,08:10,08:10,08:10,08:11,08:11,08:11,,,,,
151,Marine Lines,07:57,07:57,08:00,08:00,,,,,08:06,08:06,08:06,,,,,,,,08:09,08:09,,,08:13,08:13,08:13,,,,,,,,
152,Charni Road,07:59,07:59,08:02,08:02,,,,,08:08,08:08,08:08,,,,,,,,08:11,08:11,,,08:15,08:15,08:15,,,,,,,,
153,Grant Road,08:02,08:02,08:05,08:05,,,,,08:11,08:11,08:11,,,,,,,,08:14,08:14,,,08:18,08:18,08:18,,,,,,,,
154,M'BAI CENTRAL (L),08:04,08:04,08:07,08:07,,,08:08,08:08,08:13,08:13,08:13,,,,,,08:13,08:13,08:16,08:16,08:16,08:16,08:20,08:20,08:20,08:19,08:19,08:19,,,,,
155,Mahalakshmi,Air,Air,08:11,08:11,,,,,08:16,08:16,08:16,,,,NOT ON,NOT ON,,,08:19,08:19,,,08:23,08:23,08:23,,,,,,,,
156,Lower Parel,Condition,Condition,08:14,08:14,,,,,08:19,08:19,08:19,,,,SUN,SUN,,,08:22,08:22,,,08:26,08:26,08:26,,,,,,,,
157,Prabhadevi,,,08:17,08:17,,,,,08:22,08:22,08:22,,,,ONLY,ONLY,,,08:25,08:25,,,08:29,08:29,08:29,,,,,,,,
158,DADAR,08:11,08:11,08:19,08:19,,,08:15,08:15,08:24,08:24,08:24,,,,,,08:20,08:20,08:27,08:27,08:24,08:24,08:31,08:31,08:31,08:27,08:27,08:27,08:30,08:30,08:30,,
159,Matunga Road,,,08:21,08:21,,,,,08:26,08:26,08:26,,,,,,,,08:29,08:29,,,08:33,08:33,08:33,,,,,,,,
160,Mahim Jn.,,,08:24,08:24,,,,,08:29,08:29,08:29,,,,,,,,08:32,08:32,,,08:36,08:36,08:36,,,,,,,,
161,BANDRA,08:16,08:16,08:28,08:28,,,08:21,08:21,08:33,08:33,08:33,,,,,,08:26,08:26,08:36,08:36,08:30,08:30,08:40,08:40,08:40,08:33,08:33,08:33,08:37,08:37,08:37,,
162,Khar Road,ON SAT,ON SAT,08:31,08:31,,,,,08:36,08:36,08:36,,,,,,,,08:39,08:39,,,08:43,08:43,08:43,,,,,,,,
163,Santa Cruz,& SUN,& SUN,08:33,08:33,,,,,08:38,08:38,08:38,,,,,,,,08:41,08:41,,,08:45,08:45,08:45,,,,,,,,
164,Vile Parle,NON AC,NON AC,08:36,08:36,,,,,08:41,08:41,08:41,,,,,,,,08:44,08:44,,,08:48,08:48,08:48,,,,,,,,
165,ANDHERI,08:24,08:24,08:41,08:41,08:27,08:27,,,08:45,08:45,08:45,,,,,,08:35,08:35,08:50,08:50,08:38,08:38,08:53,08:53,08:53,08:41,08:41,08:41,08:45,08:45,08:45,08:52,08:52
166,Jogeshwari,,,08:44,08:44,,,,,08:48,08:48,08:48,,,,,,,,08:53,08:53,,,,,,,,,,,,,
167,Ram Mandir,,,08:47,08:47,,,,,08:51,08:51,08:51,,,,,,,,08:56,08:56,,,,,,,,,,,,,
168,Goregaon,,,08:49,08:49,,,08:38,08:38,08:53,08:53,08:53,,,,,,,,08:58,08:58,,,,,,,,,,,,,
169,Malad,,,08:53,08:53,,,,,08:57,08:57,08:57,,,,,,,,09:02,09:02,,,,,,,,,,,,,
170,Kandivli,,,08:56,08:56,,,,,09:00,09:00,09:00,,,,,,,,09:05,09:05,,,,,,,,,,,,,
171,BORIVALI,08:40,08:40,09:02,09:02,08:43,08:43,,,09:05,09:05,09:05,09:06,09:06,09:06,09:10,09:10,08:49,08:49,09:11,09:11,08:53,08:53,,,,08:57,08:57,08:57,09:02,09:02,09:02,09:06,09:06
172,Dahisar,08:44,08:44,,,08:47,08:47,,,,,,09:09,09:09,09:09,09:14,09:14,08:53,08:53,,,08:57,08:57,,,,,,,,,,09:10,09:10
173,Mira Road,08:49,08:49,,,08:52,08:52,,,,,,09:14,09:14,09:14,09:19,09:19,08:58,08:58,,,09:02,09:02,,,,,,,,,,09:15,09:15
174,Bhayandar,08:53,08:53,,,08:57,08:57,,,,,,09:19,09:19,09:19,09:24,09:24,09:03,09:03,,,09:07,09:07,,,,,,,09:12,09:12,09:12,09:20,09:20
175,Naigaon,08:59,08:59,,,09:03,09:03,,,,,,09:25,09:25,09:25,,,09:09,09:09,,,09:13,09:13,,,,,,,,,,09:26,09:26
176,Vasai Road,09:04,09:04,,,09:08,09:08,,,,,,09:30,09:30,09:30,,,09:14,09:14,,,09:18,09:18,,,,,,,09:23,09:23,09:23,09:32,09:32
177,Nalla Sopara,09:09,09:09,,,09:13,09:13,,,,,,09:35,09:35,09:35,,,09:19,09:19,,,09:24,09:24,,,,,,,,,,09:37,09:37
178,VIRAR,09:15,09:15,,,09:19,09:19,,,,,,09:41,09:41,09:41,,,09:28,09:28,,,09:33,09:33,,,,,,,09:36,09:36,09:36,09:44,09:44
179,STATIONS DN TRAINS,BYR 90195 12 CAR,BVI 90197 12 CAR,BVI 90197 12 CAR,GMN 90199 12 CAR,GMN 90199 12 CAR,BVI 90201 12 CAR,BVI 90201 12 CAR,VR 90203 12 CAR,VR 90203 12 CAR,BVI 90205 12 CAR,BVI 90205 12 CAR,BVI 90205 12 CAR,VR 90207 12 CAR,VR 90207 12 CAR,VR 90207 12 CAR,GMN 90209 12 CAR,GMN 90209 12 CAR,BVI 90211 12 CAR,BVI 90211 12 CAR,VR 90213 12 CAR,VR 90213 12 CAR,VR 92053 15 CAR,VR 92053 15 CAR,BVI 90215 12 CAR,BVI 90215 12 CAR,BVI 90215 12 CAR,BSR 90217 12 CAR,BSR 90217 12 CAR,BSR 90217 12 CAR,VR 92055 15 CAR,VR 92055 15 CAR,VR 92055 15 CAR,VR 92055 15 CAR
180,CHURCHGATE,,08:15,08:15,08:18,08:18,08:23,08:23,08:24,08:24,08:27,08:27,08:27,08:27,08:27,08:27,08:32,08:32,08:32,08:32,08:35,08:35,,,08:35,08:35,08:35,08:38,08:38,08:38,,,,
181,Marine Lines,,08:18,08:18,08:21,08:21,08:26,08:26,08:27,08:27,08:30,08:30,08:30,08:30,08:30,08:30,08:35,08:35,,,,,,,08:38,08:38,08:38,,,,,,,
182,Charni Road,,08:20,08:20,08:23,08:23,08:28,08:28,08:29,08:29,08:32,08:32,08:32,08:32,08:32,08:32,08:37,08:37,,,,,,,08:40,08:40,08:40,,,,,,,
183,Grant Road,,08:23,08:23,08:26,08:26,08:31,08:31,08:32,08:32,08:35,08:35,08:35,08:35,08:35,08:35,08:40,08:40,,,,,,,08:43,08:43,08:43,,,,,,,
184,M'BAI CENTRAL (L),,08:25,08:25,08:28,08:28,08:33,08:33,08:34,08:34,08:37,08:37,08:37,08:37,08:37,08:37,08:42,08:42,08:40,08:40,08:43,08:43,,,08:45,08:45,08:45,08:46,08:46,08:46,,,,
185,Mahalakshmi,,08:28,08:28,08:31,08:31,08:36,08:36,,,08:40,08:40,08:40,,,,08:45,08:45,,,,,,,08:48,08:48,08:48,,,,,,,
186,Lower Parel,,08:31,08:31,08:34,08:34,08:39,08:39,,,08:43,08:43,08:43,,,,08:48,08:48,,,,,,,08:51,08:51,08:51,,,,,,,
187,Prabhadevi,,08:34,08:34,08:37,08:37,08:42,08:42,,,08:46,08:46,08:46,,,,08:51,08:51,,,,,,,08:54,08:54,08:54,,,,,,,
188,DADAR,,08:36,08:36,08:39,08:39,08:44,08:44,08:41,08:41,08:48,08:48,08:48,08:44,08:44,08:44,08:53,08:53,08:47,08:47,08:50,08:50,,,08:56,08:56,08:56,08:53,08:53,08:53,,,,
189,Matunga Road,,08:38,08:38,08:41,08:41,08:46,08:46,,,08:50,08:50,08:50,,,,08:56,08:56,,,,,,,08:58,08:58,08:58,,,,,,,
190,Mahim Jn.,,08:41,08:41,08:44,08:44,08:49,08:49,,,08:53,08:53,08:53,,,,08:59,08:59,,,,,,,09:01,09:01,09:01,,,,,,,
191,BANDRA,08:41,08:45,08:45,08:48,08:48,08:53,08:53,08:46,08:46,08:57,08:57,08:57,08:49,08:49,08:49,09:03,09:03,08:52,08:52,08:55,08:55,,,09:05,09:05,09:05,08:58,08:58,08:58,,,,
192,Khar Road,08:46,08:49,08:49,08:51,08:51,08:56,08:56,,,09:00,09:00,09:00,,,,09:07,09:07,,,,,,,09:08,09:08,09:08,,,,,,,
193,Santa Cruz,08:48,08:51,08:51,08:54,08:54,08:58,08:58,,,09:02,09:02,09:02,,,,09:10,09:10,,,,,,,09:11,09:11,09:11,,,,,,,
194,Vile Parle,08:51,08:54,08:54,08:57,08:57,09:01,09:01,,,09:05,09:05,09:05,,,,09:13,09:13,,,,,,,09:14,09:14,09:14,,,,,,,
195,ANDHERI,08:55,08:59,08:59,09:02,09:02,09:06,09:06,08:55,08:55,09:10,09:10,09:10,08:58,08:58,08:58,09:18,09:18,09:01,09:01,09:05,09:05,09:17,09:17,09:20,09:20,09:20,09:08,09:08,09:08,,,,
196,Jogeshwari,08:58,09:03,09:03,09:06,09:06,09:09,09:09,,,09:13,09:13,09:13,,,,09:22,09:22,,,,,09:21,09:21,09:24,09:24,09:24,,,,,,,
197,Ram Mandir,09:01,09:06,09:06,09:09,09:09,09:12,09:12,,,09:16,09:16,09:16,,,,09:25,09:25,,,,,09:24,09:24,09:27,09:27,09:27,,,,,,,
198,Goregaon,09:03,09:08,09:08,09:13,09:13,09:14,09:14,,,09:18,09:18,09:18,,,,09:29,09:29,,,,,09:26,09:26,09:29,09:29,09:29,,,,,,,
199,Malad,09:07,09:12,09:12,,,09:18,09:18,,,09:22,09:22,09:22,,,,,,,,,,09:30,09:30,09:33,09:33,09:33,,,,,,,
200,Kandivli,09:10,09:15,09:15,,,09:21,09:21,,,09:25,09:25,09:25,,,,,,,,,,09:33,09:33,09:36,09:36,09:36,,,,,,,
201,BORIVALI,09:15,09:22,09:22,,,09:28,09:28,09:09,09:09,09:33,09:33,09:33,09:13,09:13,09:13,,,09:17,09:17,09:20,09:20,09:37,09:37,09:43,09:43,09:43,09:24,09:24,09:24,09:27,09:27,09:27,09:27
202,Dahisar,09:19,,,NOT ON,NOT ON,,,09:14,09:14,NOT ON,NOT ON,NOT ON,09:18,09:18,09:18,,,,,09:23,09:23,09:41,09:41,,,,09:28,09:28,09:28,09:31,09:31,09:31,09:31
203,Mira Road,09:24,,,SUN &,SUN &,,,09:19,09:19,SUN,SUN,SUN,09:23,09:23,09:23,,,,,09:28,09:28,09:46,09:46,,,,09:33,09:33,09:33,09:36,09:36,09:36,09:36
204,Bhayandar,09:31,,,HOLIDAY,HOLIDAY,,,09:24,09:24,ONLY,ONLY,ONLY,09:28,09:28,09:28,,,,,09:33,09:33,09:51,09:51,,,,09:38,09:38,09:38,09:41,09:41,09:41,09:41
205,Naigaon,,,,,,,,09:30,09:30,,,,09:34,09:34,09:34,,,,,09:39,09:39,09:57,09:57,,,,09:44,09:44,09:44,09:46,09:46,09:46,09:46
206,Vasai Road,,,,,,,,09:35,09:35,,,,09:40,09:40,09:40,,,,,09:44,09:44,10:02,10:02,,,,09:52,09:52,09:52,09:51,09:51,09:51,09:51
207,Nalla Sopara,,,,,,,,09:40,09:40,,,,09:45,09:45,09:45,,,,,09:49,09:49,10:07,10:07,,,,,,,09:56,09:56,09:56,09:56
208,VIRAR,,,,,,,,09:48,09:48,,,,09:51,09:51,09:51,,,,,09:57,09:57,10:13,10:13,,,,,,,10:01,10:01,10:01,10:01
209,STATIONS DN TRAINS,GMN 90217A 12 CAR,BVI 90219 12 CAR,BVI 90219 12 CAR,GMN 90225 12 CAR,GMN 90225 12 CAR,BVI 94083 12 CAR,BVI 94083 12 CAR,NSP 92057 15 CAR,NSP 92057 15 CAR,BVI 90223 12 CAR,BVI 90223 12 CAR,BVI 90223 12 CAR,DRD 93011 12 CAR,DRD 93011 12 CAR,DRD 93011 12 CAR,ADH 90227 12 CAR,ADH 90227 12 CAR,BVI 90229 12 CAR,BVI 90229 12 CAR,VR 94017 12 CAR,VR 94017 12 CAR,GMN 90231 12 CAR,GMN 90231 12 CAR,VR 90233 12 CAR,VR 90233 12 CAR,VR 90233 12 CAR,ADH 90235 12 CAR,ADH 90235 12 CAR,ADH 90235 12 CAR,BYR 90237 12 CAR,BYR 90237 12 CAR,BYR 90237 12 CAR,BYR 90237 12 CAR
210,CHURCHGATE,08:38,,,08:43,08:43,08:46,08:46,,,08:46,08:46,08:46,08:49,08:49,08:49,08:50,08:50,08:53,08:53,08:53,08:53,08:56,08:56,08:56,08:56,08:56,09:00,09:00,09:00,,,,
211,Marine Lines,08:41,,,,,,,,,08:49,08:49,08:49,08:52,08:52,08:52,08:53,08:53,08:56,08:56,,,08:59,08:59,,,,09:03,09:03,09:03,,,,
212,Charni Road,08:43,,,,,,,,,08:51,08:51,08:51,08:54,08:54,08:54,08:55,08:55,08:58,08:58,,,09:01,09:01,,,,09:05,09:05,09:05,,,,
213,Grant Road,08:46,,,,,,,,,08:54,08:54,08:54,08:57,08:57,08:57,08:58,08:58,09:01,09:01,,,09:04,09:04,,,,09:08,09:08,09:08,,,,
214,M'BAI CENTRAL (L),08:48,,,08:51,08:51,08:54,08:54,,,08:56,08:56,08:56,08:59,08:59,08:59,09:00,09:00,09:03,09:03,09:02,09:02,09:06,09:06,09:05,09:05,09:05,09:10,09:10,09:10,,,,
215,Mahalakshmi,08:51,,,,,,,NOT ON,NOT ON,08:59,08:59,08:59,,,,09:03,09:03,09:06,09:06,Air,Air,09:09,09:09,,,,09:13,09:13,09:13,,,,
216,Lower Parel,08:54,,,,,,,SUN,SUN,09:02,09:02,09:02,,,,09:06,09:06,09:09,09:09,Condition,Condition,09:12,09:12,,,,09:16,09:16,09:16,,,,
217,Prabhadevi,08:57,,,,,,,ONLY,ONLY,09:05,09:05,09:05,,,,09:09,09:09,09:12,09:12,,,09:15,09:15,,,,09:19,09:19,09:19,,,,
218,DADAR,08:59,,,08:58,08:58,09:01,09:01,,,09:07,09:07,09:07,09:06,09:06,09:06,09:11,09:11,09:14,09:14,09:09,09:09,09:17,09:17,09:12,09:12,09:12,09:21,09:21,09:21,,,,
219,Matunga Road,09:01,,,,,,,,,09:09,09:09,09:09,,,,09:13,09:13,09:16,09:16,,,09:19,09:19,,,,09:23,09:23,09:23,,,,
220,Mahim Jn.,09:04,,,,,,,,,09:12,09:12,09:12,,,,09:16,09:16,09:19,09:19,,,09:22,09:22,,,,09:26,09:26,09:26,,,,
221,BANDRA,09:08,09:12,09:12,09:03,09:03,09:06,09:06,,,09:16,09:16,09:16,09:11,09:11,09:11,09:20,09:20,09:23,09:23,09:14,09:14,09:26,09:26,09:17,09:17,09:17,09:30,09:30,09:30,,,,
222,Khar Road,09:11,09:15,09:15,,,,,,,09:20,09:20,09:20,,,,09:23,09:23,09:26,09:26,,,09:29,09:29,,,,09:33,09:33,09:33,,,,
223,Santa Cruz,09:14,09:18,09:18,,,Air,Air,,,09:23,09:23,09:23,,,,09:26,09:26,09:29,09:29,,,09:32,09:32,,,,09:36,09:36,09:36,,,,
224,Vile Parle,09:17,09:21,09:21,,,Condition,Condition,,,09:26,09:26,09:26,,,,09:29,09:29,09:32,09:32,,,09:35,09:35,,,,09:39,09:39,09:39,,,,
225,ANDHERI,09:22,09:26,09:26,,,09:15,09:15,09:29,09:29,09:32,09:32,09:32,09:19,09:19,09:19,09:34,09:34,09:37,09:37,09:22,09:22,09:41,09:41,09:26,09:26,09:26,09:45,09:45,09:45,,,,
226,Jogeshwari,09:26,09:30,09:30,,,,,09:33,09:33,09:36,09:36,09:36,,,,,,09:41,09:41,,,09:45,09:45,,,,,,,,,,
227,Ram Mandir,09:29,09:33,09:33,,,ON SAT,ON SAT,09:36,09:36,09:39,09:39,09:39,,,,,,09:44,09:44,,,09:48,09:48,,,,,,,,,,
228,Goregaon,09:34,09:35,09:35,09:20,09:20,& SUN,& SUN,09:38,09:38,09:41,09:41,09:41,,,,,,09:46,09:46,,,09:52,09:52,,,,,,,,,,
229,Malad,,09:39,09:39,,,NON AC,NON AC,09:42,09:42,09:45,09:45,09:45,,,,,,09:50,09:50,,,,,,,,,,,,,,
230,Kandivli,,09:42,09:42,,,,,09:45,09:45,09:48,09:48,09:48,,,,,,09:53,09:53,,,,,,,,,,,,,,
231,BORIVALI,,09:48,09:48,,,09:30,09:30,09:50,09:50,09:55,09:55,09:55,09:32,09:32,09:32,,,10:00,10:00,09:36,09:36,,,09:40,09:40,09:40,,,,09:46,09:46,09:46,09:46
232,Dahisar,,,,,,,,09:55,09:55,NOT ON,NOT ON,NOT ON,,,,,,,,09:40,09:40,,,09:44,09:44,09:44,,,,09:51,09:51,09:51,09:51
233,Mira Road,,,,,,,,10:00,10:00,SUN,SUN,SUN,,,,,,,,09:45,09:45,,,09:49,09:49,09:49,,,,09:56,09:56,09:56,09:56
234,Bhayandar,,,,,,,,10:06,10:06,ONLY,ONLY,ONLY,09:46,09:46,09:46,,,,,09:50,09:50,,,09:54,09:54,09:54,,,,10:03,10:03,10:03,10:03
235,Naigaon,,,,,,,,10:12,10:12,,,,,,,,,,,09:56,09:56,,,10:00,10:00,10:00,,,,,,,
236,Vasai Road,,,,,,,,10:17,10:17,,,,09:57,09:57,09:57,,,,,10:01,10:01,,,10:05,10:05,10:05,,,,,,,
237,Nalla Sopara,,,,,,,,10:24,10:24,,,,,,,,,,,10:06,10:06,,,10:10,10:10,10:10,,,,,,,
238,VIRAR,,,,,,,,TO,TO,,,,10:07,10:07,10:07,,,,,10:13,10:13,,,10:17,10:17,10:17,,,,,,,
239,STATIONS DN TRAINS,BVI 90239 12 CAR,BVI 90241 12 CAR,BVI 90241 12 CAR,VR 90243 12 CAR,VR 90243 12 CAR,VR 90245 12 CAR,VR 90245 12 CAR,GMN 90247 12 CAR,GMN 90247 12 CAR,NSP 92059 15 CAR,NSP 92059 15 CAR,NSP 92059 15 CAR,VR 92061 15 CAR,VR 92061 15 CAR,VR 92061 15 CAR,BVI 90249 12 CAR,BVI 90249 12 CAR,GMN 90251 12 CAR,GMN 90251 12 CAR,BVI 90253 12 CAR,BVI 90253 12 CAR,BSR 92063 15 CAR,BSR 92063 15 CAR,VR 92065 15 CAR,VR 92065 15 CAR,VR 92065 15 CAR,BVI 90255 12 CAR,BVI 90255 12 CAR,BVI 90255 12 CAR,BVI 92067 15 CAR,BVI 92067 15 CAR,BVI 92067 15 CAR,BVI 92067 15 CAR
240,CHURCHGATE,09:00,09:04,09:04,09:03,09:03,09:06,09:06,09:09,09:09,,,,,,,09:11,09:11,09:14,09:14,09:13,09:13,,,,,,09:19,09:19,09:19,09:19,09:19,09:19,09:19
241,Marine Lines,,09:07,09:07,,,,,,,,,,,,,09:14,09:14,09:17,09:17,,,,,,,,09:22,09:22,09:22,,,,
242,Charni Road,,09:09,09:09,,,,,,,,,,,,,09:16,09:16,09:19,09:19,,,,,,,,09:24,09:24,09:24,,,,
243,Grant Road,,09:12,09:12,,,,,,,,,,,,,09:19,09:19,09:22,09:22,,,,,,,,09:27,09:27,09:27,,,,
244,M'BAI CENTRAL (L),09:08,09:14,09:14,09:11,09:11,09:14,09:14,09:17,09:17,,,,,,,09:21,09:21,09:24,09:24,09:20,09:20,,,,,,09:29,09:29,09:29,09:27,09:27,09:27,09:27
245,Mahalakshmi,,09:17,09:17,,,,,,,,,,,,,09:24,09:24,09:27,09:27,,,,,,,,09:32,09:32,09:32,,,,
